title, category, address, phone, email, description
Samaritan Ministries, MENTAL HEALTH AND  COUNSELING, , 386-437-4372, , Advocacy and life skills. social support  for single moms and women in crisis.   Call for location.
, MENTAL HEALTH AND  COUNSELING, 301 Justice Lane  Bunnell. FL 32110, 800-539-4228, , SMA Healthcare  Mental health outpatient services for  individuals with severe and persistent  mental illness and co-occurring  disorders.          386-236-1810
Tender Paws, MENTAL HEALTH AND  COUNSELING, , 386-822-4852, , Program at  Halifax Health – Hospice  Free support group for individuals  grieving the loss of their pet.        386 258-5100
The Health Institute, MENTAL HEALTH AND  COUNSELING, , 386-283-5654, ygeiapatients@gmail.com, Mental health therapy on a sliding  scale basis.
Visitation Center, MENTAL HEALTH AND  COUNSELING, 525 Ridgewood Ave  Daytona Beach. FL 32114, 386-323-2550, , Court ordered supervised visitation  (child abuse).   .
Vitas Healthcare, MENTAL HEALTH AND  COUNSELING, , 386-366-6100, , Free professionally facilitated  bereavement support to community  (does not require participation in  hospice care service).              Bereavement Support:  3rd  Thursday of month at 2 pm  Caregiver Support:  Every Friday  at 9:30 am  LGBT Bereavement   Call Vonshelle Beneby
Begin Again Children’s Grief  Center, MENTAL HEALTH AND  COUNSELING: YOUTH, , 386-258-9889, , Free programs and counseling; year  round program for grieving youth 4-18  years old; Camp Begin Again is a  weekend camp for grieving kids.  Halifax Health-Hospice
Big Bear Behavioral Health., MENTAL HEALTH AND  COUNSELING: YOUTH, , 800-840-2528, , Inc.    In-home/school therapy. evaluations.  rehabilitation. and assessments.  www.bigbearcounseling.org  1-  Ext. 1
Brave Voices, MENTAL HEALTH AND  COUNSELING: YOUTH, , 386-530-4766, , Counseling LLC  Counseling and therapy:  free phone  consultation.
, MENTAL HEALTH AND  COUNSELING: YOUTH, 4721 E. Moody Blvd. Ste 107  Bunnell. FL 32110, 386-437-0026, , Break the Cycle  Mental health evaluations. anger  management and drug/alcohol  screens.
Children’s Home Society, MENTAL HEALTH AND  COUNSELING: YOUTH, 2400 S. Ridgewood Ave. Ste 32  South Daytona. FL 32119, 386-304-7600, , Outpatients mental health counseling.  in home. school.  Psychiatric services.  Tele-psychiatry and med management  in-office on Wednesdays.        Ext. 226
Coastal Mental Health  Mental Health, MENTAL HEALTH AND  COUNSELING: YOUTH, 31 Lupi Court. Ste 210  Palm Coast. FL 32137, 386-675-4694, , Treatment 4 & up.   Medicaid or private pay.              1-800-614-4124
Chrysalis, MENTAL HEALTH AND  COUNSELING: YOUTH, 412 S. Palmetto Street  Daytona Beach. FL 32137, 386-254-2848, , Health – Flagler/Volusia  Outpatient mental health & substance  abuse counseling (in-home) for  individuals & families. ages 3 & up.  Targeted Case Management (TCM) for  individuals with diagnosed mental  health conditions. STARRT (Sexual  Trauma & Risk Reduction Treatment)  for children & teens with problematic  sexual behaviors. Medicaid accepted.
, MENTAL HEALTH AND  COUNSELING: YOUTH, , 904-829-2273, , EPIC Behavioral Healthcare  Counseling. and prevention programs  and services for children. adults  adolescents and families.  1400 Old Dixie Highway  St. Augustine. FL 32084
Flagler Mental, MENTAL HEALTH AND  COUNSELING: YOUTH, 2729 E. Moody Blvd  Bunnell. FL 32110, 386-313-1989, , Health Center. PA  Psychiatric evaluations. medication  management. counseling.  Insurance.  self-pay. Medicaid and Healthy Kids.
Halifax Behavioral Services, MENTAL HEALTH AND  COUNSELING: YOUTH, , 386-425-3900, , Psychiatric services for children and  adolescents 2-17 with emotional and  behavioral problems.  841 Jimmy Ann Dr.  Daytona Beach. FL 32117
House Next, MENTAL HEALTH AND  COUNSELING: YOUTH, , 386-738-9169, , Door  Family. individual. and adolescent  counseling services to help cope with  stresses. crisis. abuse.   Medicaid and sliding scale fees.
National Suicide Prevention, MENTAL HEALTH AND  COUNSELING: YOUTH, , , , Lifeline  1-800-273-TALK (8255)
Vocational Rehabilitation, MENTAL HEALTH AND  COUNSELING: YOUTH, , 386-615-6111, , Mental health referrals for evaluation  16 & up.  Free service
Family Matters of Flagler. Inc., OUTREACH AND  GENERAL ASSISTANCE, , 386-264-6031, , Family and senior aid and advocacy;  assistance information and referrals;  group transportation and housing  needs.
People, OUTREACH AND  GENERAL ASSISTANCE, 2323 North State Street  Bunnell. FL 32110, 386-627-1115, , Helping People/ God’s  Love Ministries  Furniture (picks up and transports).  clothing. personal hygiene products.  and food to families in need.  Assistance with Social Security  Disability and Re-employment  applications. Participating DCF/ACCESS  Community Partner.
, OUTREACH AND  GENERAL ASSISTANCE, , 386-315-7155, projecthopeflagler@lsfnet.org, PROJECT H.O.P.E (Helping Our  People in Emergencies)  Crisis counseling program for people  who are grieving or experiencing other  problems due to an emergency.            24/7 Access to Care Line:   877-229-9098
Samaritan Ministries, OUTREACH AND  GENERAL ASSISTANCE, , 386-437-4372, , Assistance to women and single moms  in crisis.  Car maintenance & minor  repairs when funding permits.  Must  call for appointment:
Sheltering Tree, OUTREACH AND  GENERAL ASSISTANCE, , 386-437-3258, FlaglerShelteringTree@yahoo.com, Wednesday   10:00 AM – 2:00 PM  Flagler County Family Assistance  Program:  Family assistance and  resources for people experiencing  homelessness who need food.  transportation. counseling. etc.       205 N. Pine Street. Bunnell. FL 32110    Ext. 105
Access Wireless, PHONE AND INTERNET, , 888-450-1838, , Free smartphone plus 500 MB data.  350 mins of talk and unlimited text.   One per household.   www.accesswireless.com.
Assurance Wireless, PHONE AND INTERNET, , 888-898-4888, , Free cell phone with 250 free cell  phone minutes.   www.assurancewireless.com.
Internet Essentials, PHONE AND INTERNET, , , , For families that qualify. broadband  internet service for $9.95/mo.   www.internetessentials.com
, PHONE AND INTERNET, , 800-723-3546, , SafeLink Wireless  Free phone per eligible household with  350 talk minutes. unlimited texts and  500 MB of data.   www.safelinkwireless.com
Flagler County Human Services, RENT OR UTILITY  ASSISTANCE, 1000 Belle Terre Boulevard  Palm Coast. FL 32164, 386-586-2324, , Temporary assistance with rent.  electric. or water bill for Flagler County  residents who have unexpected  emergencies.        Ext. 3622
Flagler County Senior Services  Elderly Home Energy Assistance, RENT OR UTILITY  ASSISTANCE, 1000 Belle Terre Boulevard   Palm Coast. FL 32164, 386-586-2324, , Program (EHEAP)—FPL help for eligible  Flagler County seniors 60 and up.       Ext. 3621
Northeast Florida Community  Action, RENT OR UTILITY  ASSISTANCE, 8776  703 E Moody Blvd. Ste 4  Bunnell. FL 32110, , , Agency (NFCAA)  Low Income Home Energy Assistance  Program (LIHEAP). For help with FPL  please call 844-625-   (700 Professional Building)  Office: 386 313-2506  Fax: 386 313-2864
Salvation, RENT OR UTILITY  ASSISTANCE, 700 E. Moody Blvd  Bunnell. FL 32110, 386-437-0029, , Army  Monday-Thurs   9:00 AM – 2:00 PM  Rent. utilities and veterans programs  with available funding.
St. Elizabeth Ann Seton  Catholic Church  Mon., RENT OR UTILITY  ASSISTANCE, , 386-597-3359, , Wed & Fri   10:00 AM – 1:00 PM  Rent or utilities. By appointment.   4600 Belle Terre Pkwy  Palm Coast. FL 3213
St. Mary’s Outreach Ministry, RENT OR UTILITY  ASSISTANCE, , 386-437-5073, , Rent or utilities.  (Must call and leave  message).   89 St. Mary’s Place  (Off Old Dixie Hwy)  Bunnell. FL 32110       Fax:  386-437-5091     St. Vincent de Paul Society   Mon. Wed & Fri   11:00 AM – 2:00 PM  Utilities or gas.  Must call for  appointment.   400 S. Daytona Ave.   Flagler Beach. FL 32136    386-693-4806
Aging and Disability Resource  Center Hotline, SENIORS, , 904-391-6699, , Helpline for seniors. caregivers. and  adults with disabilities to find available  resources. agencies & programs.             888-242-4464    Florida Relay 7-1-1 for hearing and  visual accommodations
The Alzheimer’s Resource  Council of Flagler County, SENIORS, 1000 Belle Terre Boulevard   Palm Coast. FL 32164, 386-446-7848, , Support group for caregivers/relatives  of Alzheimer patients.  Meets third  Monday of each month at 11:30 am.   Light refreshments provided.      Medwin Nazif
The Alzheimer’s Resource  Council of Flagler, SENIORS, 185 Cypress Point Pkwy. Ste 5  Palm Coast. FL 32137, 386-446-7848, , County  Alzheimer’s resource library open  Mon-Fri 9 am – 5 pm.  Memory  screenings every third Thursday of the  month from 2 pm – 5 pm.   Visiting Angels      Medwin Nazif
Automated Health Systems  Statewide, SENIORS, , 904-631-4964, , Medicaid managed care  system. choice counseling specialist  informs and educates on variety of  Medicaid plans.   Linda Tate:
, SENIORS, 1219 Dunn Avenue  Daytona Beach. FL 32114, 877-255-4568, info@eseals-vf.org, Easterseals Volusia/Flagler  FTRI  Phones free of charge for deaf or hard  of hearing individuals.
Family Matters of Flagler. Inc., SENIORS, , 386-264-6031, , Family and senior aid and advocacy;  assistance information and referrals;  group transportation and housing  needs.
Flagler County Senior Services, SENIORS, 1000 Belle Terre Boulevard   Palm Coast. FL 32164, 386-586-2324, , Meals on Wheels; Congregate  Dining/Wickline Senior Center; Non- Medical In-Home Services; Adult Day  Care; Info & Referral; Energy/FPL  Assistance (EHEAP).         Ext. 3633
Florida Abuse Hotline, SENIORS, , 800-962-2873, , Report suspected abuse or neglect of  seniors or disabled adults.   Reportabuse.dcf.state.fl.us     option 2
George Wickline Senior, SENIORS, , 386-586-2324, , Center    Monday-Friday   9:30 AM – 1:00 PM  Activities. seniors 60 and up:   entertainment. games. BINGO. arts &  crafts; informative programs; exercise;  socialization; open pool table;  transportation available (some  restrictions apply).  Lunch served daily.  Reservations and enrollment required.   800 S. Daytona Ave.   Flagler Beach. FL 32136      x 3623  386-517-2435
Palm Coast Pet Taxi, SENIORS, , 386-986-9045, pcpettaxi@gmail.com, Transportation for pet and owner to  appointments for grooming and vet.  Can assist with transferring large pets  in and out of taxi. Call for pricing.  Colleen Riley-Smith           Seniors vs. Crime  Thursdays 9:30 am – 3:00 pm  Assists seniors who are often targeted  for specific crimes based on their age.   Free of charge to all seniors.    Flagler County Courthouse  1769 E. Moody Blvd. Bldg. 1  Bunnell. FL 32110  (386) 586-2634
, SENIORS, , 904-391-6699, , SHINE (Serving Health  Insurance Needs of Elders)  Free unbiased health insurance  counseling         888-242-4464
Family Life Center, SHELTERS, , 386-437-7610, , Emergency shelter for women.  children. and men who are victims of  domestic violence.   www.familylifecenterflagler.com.         24 hr hotline:  386-437-3505
Precious Hearts Foundation, SHELTERS, , 877-731-2210, , Emergency shelter—2 locations (1  male. 1 female).  Safe & confidential.   www.preciousheartsfoundation.org
Salvation Army Shelter, SHELTERS, , 386-236-2020, , Emergency shelter for homeless single  males and females.  Some financial  assistance.    560 Ballough Rd   Daytona Beach. FL  32114
Sheltering, SHELTERS, , 386-437-3258, Flaglershelteringtree@yahoo.com, Tree (Cold Weather  Shelter)  Over-night shelter providing dinner  and breakfast when temperatures  drop to 40 or below.    205 N. Pine Street. Bunnell. FL 32110        Ext. 105
St. Francis House, SHELTERS, , 904-829-8937, info.sfh1@gmail.com, Sheltering program open to men.  women. families and youth.  Provides  lunch and  showers for $1.00.       www.stfrancisshelter.org    70 Washington St.  St. Augustine. FL 32084
, SHOWERS, 3000 N State Street  Bunnell. FL 32110, , , Church on the Rock  Wed. & Sat.  9:00 am – 12:00 pm  Free showers.
Alcoholics, SUBSTANCE ABUSE, , , , Anonymous (AA)  24/7 help line for meeting times and  locations for self-help groups.    386-445-HELP (4357)
, SUBSTANCE ABUSE, , 904-315-0233, , Al-Anon  Groups for family and friends of  alcoholics.  www.northfloridaal-anon.org
Azalea Health, SUBSTANCE ABUSE, , 386-246-3954, , Onsite mental health counselor  providing outpatient mental health  and substance abuse counseling for  individuals and families.  Sliding scale  fees.  Accepts Medicaid.
, SUBSTANCE ABUSE, , 386-437-0026, breakthecycle12@gmail.com, Break the Cycle  Self-pay. most insurance taken.   Substance abuse evaluations. intensive  outpatient (IOP). outpatient (OP).  interventions. group sessions.  counseling. screens.  Enrolled in FADAA  as Vivitrol Provider and DCF outpatient  provider.      breakthecycle12robert@gmail.com         386-333-9622
Daytona Methadone  Treatment Center, SUBSTANCE ABUSE, 1823 Buiness Park Blvd  Daytona Beach. FL 32114, 386-254-1931, , Methadone maintenance outpatient.  self-pay.
, SUBSTANCE ABUSE, , 386-254-1931, , EPIC Community Services  Substance Abuse evaluations.  Self- pay.   Heather Pepe:
Hearthstone Foundation, SUBSTANCE ABUSE, , 386-238-1348, hearthstonefoundation@gmail.com, Outpatient assessments. evals.  counseling. treatment. Onsite drug and  alcohol screens; breathalyzer.           386-299-7910
Dr., SUBSTANCE ABUSE, 381 SW Palm Coast Pkwy  Palm Coast. FL 32137, 386-214-4757, , Imani Sankoffa. PhD  Substance abuse counseling.  Cash.  money orders.
, SUBSTANCE ABUSE, , 888-947-8885, , Nar-Anon  12 step support group for friends and  family of addicts.  1-
Narcotics, SUBSTANCE ABUSE, , 844-344-3155, , Anonymous (NA)  Nonprofit fellowship or society of men  and women for whom drugs have  become a problem.
Open, SUBSTANCE ABUSE, , 386-931-4158, , Door Re-Entry and  Recovery  A residential Christ-centered ministry  focused on the restoration of people  with substance addictions and life  controlling issues.
, SUBSTANCE ABUSE, 221 Francis Parkman Place  Daytona Beach. FL 32114, 386-265-5347, solutionsbtsflorida@gmail.com, Solutions by the Sea  Safe. supportive. and sober living  environment for men dedicated to  giving hope. strength and faith to  individuals in need of a new and better  way of life.     Office:    Intake Dir. David Jackson:  386-295-1082
, SUBSTANCE ABUSE, 301 Justice Lane Bunnell. FL 32110, 800-539-4228, , SMA Healthcare  Adult substance abuse outpatient  services (Bunnell). 24 hour emergency  screening. crisis stabilization and drug  detox Daytona Beach).       Detoxification unit:  1150 Red John Rd  Daytona Beach. FL 32124
, SUBSTANCE ABUSE, , 386-236-1728, , WARM (Women Assisting  Recovering Mothers) at Vince  Carter Sanctuary (SMA Healthcare)  Residential program for substance  abuse with co-occurring issues for at- risk women. pregnant women.  postpartum women. or female parents  of young children.    Kathy Gage:
The Health Institute  Addiction Board Certified, SUBSTANCE ABUSE, , 386-283-5654, ygeiapatients@gmail.com, Physician  providing outpatient assessments.  evaluations. counseling & medical  treatment. Onsite drug & alcohol  screens. Vivitrol Provider. DCF  Outpatient Provider
, SUBSTANCE ABUSE:  YOUTH, 4721 E. Moody Blvd  Bunnell. FL 32110, 386-437-0026, , Break the Cycle  Group sessions. counseling. substance  abuse evaluations and intervention.  and Vivitrol Provider.
, SUBSTANCE ABUSE:  YOUTH, , 904-829-2273, , EPIC Behavioral Healthcare  Substance abuse and drug addiction  treatment. counseling. Vivitrol  provider. substance abuse evaluations.   Self-pay. sliding scale. Medicaid.   1400 Old Dixie Highway  St. Augustine. FL 32084
, SUBSTANCE ABUSE:  YOUTH, , 386-254-1201, , SMA Healthcare  Adolescent Substance abuse services  ages 13-18.  301 Justice Lane. Bunnell. FL 32110  Denise Otero:
Family Renew Community, TRANSITIONAL  HOUSING, 810 Ridgewood Ave  Holly Hill. FL 32117, 386-239-0861, , Provides transitional housing for  homeless families with children.  Not  an emergency shelter.   www.familyrenew.org
Hope, TRANSITIONAL  HOUSING, 340 North Street  Daytona Beach. FL 32114, 386-252-0156, , Place - Halifax Urban  Ministries   Provides transitional housing at the  former Hurst Elementary School for  displaced families with children and  homeless unaccompanied youth (18- 24) pursuing an education. Not an  emergency shelter.          Samaritan Ministries  Spiritual. social. economic and  vocational support and transitional  housing for women who have  experienced trauma in their lives.    386-437-4372
Disabled American, TRANSPORTATION, , 386-439-2122, Info@davchapter86.org, Veterans  (DAV) Chapter 86  Transportation to VA in Daytona.  Gainesville. Orlando. and St. Augustine.   27 Florida Park Dr.  Palm Coast. FL 32137
Family Matters of Flagler. Inc., TRANSPORTATION, , 386-264-6031, , Group transportation.
Flagler County Public, TRANSPORTATION, , 386-313-4100, , Transportation (FCPT)  Pre-scheduled door-to-door providing  specialized transportation throughout  Flagler County with schedule of out-of- county trips.  1769 E. Moody Blvd.. Bldg 5  Bunnell. FL 32110
Department of Veterans Affairs  Healthcare. Case Management and  Housing Assistance  Daytona, VETERANS, , 386-323-7500, , Beach
Disabled American, VETERANS, 27 Florida Park Drive  Palm Coast. FL 32137, 386-439-2122, Info@davchapter86.org, Veterans  (DAV)  Chapter 86  Assists filing claims for VA benefits.  shelter for homeless vets; utilities.  rides to VA in Daytona. Gainesville.  Orlando. and St. Augustine.
Flagler County Veterans  Services, VETERANS, 1769 E. Moody Blvd Bldg 2. Suite 108  Bunnell. FL 32110, 386-313-4014, , Claims filing. advocacy. burial benefits.  VA home loan assistance and more.
Salvation, VETERANS, , 386-437-0029, , Army  Monday-Thurs   9:00 AM – 2:00 PM  Veteran’s financial assistance  programs.    700 E. Moody Blvd. Bunnell. FL 32110        12
